Country,Country Link,Type of Emergency Financing,Type of Emergency Financing Link,Amount Approved in SDR,Amount Approved in US$,Date of Approval,region/service,Last Updated,Source,Source Link
Guinea-Bissau,https://www.imf.org/en/Countries/GNB,,,SDR 1.08 million,US$ 1.48 million,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Haiti,https://www.imf.org/en/Countries/HTI,,,SDR 4.10 million,US$ 5.61 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Liberia,https://www.imf.org/en/Countries/LBR,,,SDR 11.63 million,US$ 15.92 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
"Madagascar, Republic of",https://www.imf.org/en/Countries/MDG,,,SDR 3.06 million,US$ 4.19 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Malawi,https://www.imf.org/en/Countries/MWI,,,SDR 7.20 million,US$ 9.85 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Mali,https://www.imf.org/en/Countries/MLI,,,SDR 7.30 million,US$ 9.99 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
"Mozambique, Republic of",https://www.imf.org/en/Countries/MOZ,,,SDR 10.89 million,US$ 14.9 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Nepal,https://www.imf.org/en/Countries/NPL,,,SDR 2.85 million,US$ 3.9 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Niger,https://www.imf.org/en/Countries/NER,,,SDR 5.64 million,US$ 7.72 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Rwanda,https://www.imf.org/en/Countries/RWA,,,SDR 8.01 million,US$ 10.96 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
"São Tomé and Príncipe, Democratic Republic of",https://www.imf.org/en/Countries/STP,,,SDR 0.11 million,US$ 0.15 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Sierra Leone,https://www.imf.org/en/Countries/SLE,,,SDR 13.36 million,US$ 18.28 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Solomon Islands,https://www.imf.org/en/Countries/SLB,,,SDR 0.06 million,US$ 0.08 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
"Tajikistan, Republic of",https://www.imf.org/en/Countries/TJK,,,SDR 7.83 million,US$ 10.72 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
Togo,https://www.imf.org/en/Countries/TGO,,,SDR 3.74 million,US$ 5.12 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
"Yemen, Republic of",https://www.imf.org/en/Countries/YEM,,,SDR 14.44 million,US$ 19.76 million 3,"April 13, 2020",,2020-06-10,Debt Service Relief from the Catastrophe Containment and Relief Trust (CCRT),https://www.imf.org/en/News/Articles/2020/04/13/pr20151-imf-executive-board-approves-immediate-debt-relief-for-25-countries
